0.00,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00
1.00,0.00,4.24,4.47,8.06,11.40,11.18,15.03,19.24,21.00,18.11,20.62,23.41,20.12,21.40,25.61,29.00,25.00,20.62,20.59,21.84,17.72,20.00,15.53,21.19,18.38,16.12,13.34,13.60,9.49,11.31,7.81,8.94,3.61,7.00,5.00,9.43,6.71,12.04,9.49,13.00,16.55,19.31,14.04,19.03,16.49,14.76,20.12,19.10,24.76,27.80,23.60,19.72,19.31,21.59
2.00,4.24,0.00,5.10,5.39,8.00,9.43,12.17,16.00,18.25,15.81,18.79,21.95,19.21,21.26,25.50,29.21,25.94,21.47,22.14,24.19,20.10,23.19,18.93,25.08,22.36,20.25,17.09,17.80,13.42,15.56,12.04,13.04,7.81,10.44,7.00,11.18,6.71,12.53,8.49,12.04,15.62,18.03,11.70,16.12,13.04,10.77,16.16,14.87,20.52,23.60,19.42,15.65,15.52,18.11
3.00,4.47,5.10,0.00,5.00,8.60,7.00,11.40,15.81,17.12,14.00,16.28,18.97,15.65,17.03,21.26,24.76,21.10,16.64,17.09,19.10,15.03,18.44,14.40,21.10,18.60,16.97,13.04,15.00,9.90,13.42,9.85,12.17,7.00,11.18,9.43,13.89,10.63,16.28,13.04,16.64,20.25,22.83,16.76,21.21,18.00,15.30,20.62,18.36,23.85,26.17,21.93,17.69,16.64,18.38
4.00,8.06,5.39,5.00,0.00,3.61,4.24,7.00,11.18,13.04,10.44,13.42,16.64,14.14,16.64,20.81,24.70,22.14,17.72,19.10,22.09,18.25,22.47,18.79,25.81,23.43,21.93,17.80,20.00,14.87,18.36,14.76,16.76,11.40,15.03,12.17,16.49,12.08,17.89,13.60,17.03,20.52,22.67,15.81,19.31,15.52,12.04,17.03,13.93,19.24,21.26,17.03,12.73,11.66,13.60
5.00,11.40,8.00,8.60,3.61,0.00,5.00,4.47,8.00,10.44,8.60,12.04,15.56,13.89,17.09,21.02,25.08,23.35,19.10,21.02,24.52,20.88,25.50,22.05,29.21,26.91,25.50,21.26,23.60,18.44,21.95,18.36,20.25,14.87,18.25,15.00,19.10,14.32,19.92,15.23,18.36,21.63,23.43,16.28,18.87,14.76,10.77,15.13,11.18,16.16,17.80,13.60,9.22,8.06,10.20
6.00,11.18,9.43,7.00,4.24,5.00,0.00,5.00,9.43,10.20,7.00,9.49,12.53,9.90,12.53,16.64,20.59,18.44,14.14,16.03,19.65,16.16,21.10,18.06,25.46,23.43,22.47,17.80,21.02,15.65,19.92,16.49,19.10,14.00,18.11,15.81,20.25,16.12,21.95,17.80,21.26,24.76,26.91,20.00,23.26,19.31,15.52,20.10,16.12,20.88,21.95,17.89,13.42,11.40,12.21
7.00,15.03,12.17,11.40,7.00,4.47,5.00,0.00,4.47,6.08,4.24,7.81,11.40,10.44,14.14,17.72,21.84,21.00,17.12,19.65,23.77,20.59,25.81,22.98,30.41,28.43,27.46,22.80,25.94,20.59,24.70,21.19,23.54,18.25,22.02,19.10,23.35,18.68,24.35,19.70,22.83,26.08,27.80,20.62,22.80,18.60,14.42,18.03,13.15,17.12,17.46,13.60,9.22,6.71,7.21
8.00,19.24,16.00,15.81,11.18,8.00,9.43,4.47,0.00,3.61,5.10,8.06,11.40,12.04,16.12,19.03,23.09,23.35,19.92,22.85,27.29,24.41,29.83,27.24,34.71,32.80,31.91,27.20,30.41,25.06,29.15,25.63,27.89,22.56,26.17,23.00,27.07,22.20,27.66,22.80,25.63,28.64,30.02,22.83,24.08,19.85,15.62,18.03,12.53,15.13,14.32,11.00,7.28,4.12,2.83
9.00,21.00,18.25,17.12,13.04,10.44,10.20,6.08,3.61,0.00,3.61,5.10,8.06,9.49,13.60,16.03,20.00,20.88,17.89,21.10,25.81,23.35,29.00,26.91,34.41,32.76,32.20,27.29,31.02,25.63,30.08,26.68,29.27,24.08,28.00,25.18,29.43,24.74,30.36,25.63,28.64,31.76,33.29,26.08,27.59,23.35,19.10,21.63,16.12,18.44,17.03,14.14,10.77,7.62,5.00
